,Input Name,Input Website,Match,Stage,Score,Source
226,Profipack Verpakkingsmaterialen B.V.,profipack.nl,profipack.nl,3 - Presenting (S),100.0,Movements NL
227,Sofis,sofisglobal.com,sofisglobal.com,2 - SQL / Sales Outreach,100.0,Movements NL
228,Mueller,nl.paulmueller.com,No Match,-,0.0,Movements NL
229,Calze Del Mondo Int. B.V.,calzedelmondo.nl,calzedelmondo.nl,2 - SQL / Sales Outreach,100.0,Movements NL
230,PRESIDENT SAFETY B.V.,nan,No Match,-,0.0,Movements NL
231,NZA New Zealand Auckland HQ,nl.nzanewzealand.com/,No Match,-,0.0,Movements NL
232,"Bailey, Electric & Electronics B.V.",bailey.nl,bailey.nl,8 - Loyal (CS),100.0,Movements NL
233,Top Raam Decoraties B.V.,topraamdecoraties.com,No Match,-,0.0,Movements NL
234,Howitec Netting B.V.,howitec.nl,howitec.nl,1- MQL (Marketing),100.0,Movements NL
235,Goedkopekoffiebekers,goedkopekoffiebekers.nl,No Match,-,0.0,Movements NL
236,Chemical Distribution & Trade B.V.,partnersinchemicals.com,No Match,-,0.0,Movements NL
237,Bringo Electric Vehicles B.V. / LESLI B.V.,lesliliving.nl,No Match,-,0.0,Movements NL
238,Hyster-Yale Nederland B.V.,hyster-yale.com,hyster-yale.com,1- MQL (Marketing),100.0,Movements NL
239,Lambert Spawn Europa B.V.,lambertspawn.eu,lambertspawn.eu,2 - SQL / Sales Outreach,100.0,Movements NL
240,C.W. Kouwelaar en Zoon B.V.,nickytoy.nl/,No Match,-,0.0,Movements NL
241,van Rijsoort B.V.,nan,No Match,-,0.0,Movements NL
242,Rino&Pelle,nan,No Match,-,0.0,Movements NL
243,Fetim Group,fetimgroup.com,No Match,-,0.0,Movements NL
244,Flower Force B.V.,flowerforce.nl,flowerforce.nl,2 - SQL / Sales Outreach,100.0,Movements NL
245,Atrium house of brands B.V.,onlyformen.nl,onlyformen.nl,3 - Presenting (S),100.0,Movements NL
246,Akker Exotic Plants B.V.,avakker.nl,avakker.nl,6 - Experience (CS+S),100.0,Movements NL
247,HKC Europe B.V.,hkc-europe.com,hkc-europe.com,2 - SQL / Sales Outreach,100.0,Movements NL
248,P.K. Benelux B.V.,pkbenelux.com,pkbenelux.com,3 - Presenting (S),100.0,Movements NL
249,Mondeno Benelux B.V.,mondeno.com,No Match,-,0.0,Movements NL
250,Dorel Juvenile,europe.doreljuvenile.com/,europe.doreljuvenile.com,3 - Presenting (S),97.95918367346938,Movements NL
251,Oliver-Tolas Healthcare Packaging B.V.,oliverhcp.com,No Match,-,0.0,Movements NL
252,Advantech Service-IoT GmbH Netherlands,advantech-service-iot.eu,No Match,-,0.0,Movements NL
