,Input Name,Input Website,Match,Stage,Copper link,Score,Source,Status
136,S Products B.V.,www.s-products.com,s-products.com,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/56394864,100.0,Movements NL,Open
137,Konijnenburg B.V.,www.konijnenburg.nl,No Match,-,-,0.0,Movements NL,-
138,Pack-It B.V.,www.packit.eu,No Match,-,-,0.0,Movements NL,-
139,Maryvo International B.V.,www.maryvo.com,maryvo.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/27838082,100.0,Movements NL,Abandoned
140,Xindao B.V.,www.xindao.com/nl-nl,No Match,-,-,0.0,Movements NL,-
141,Asian Cuisine Trading B.V.,www.asiancuisinetrading.com,asiancuisinetrading.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/55971174,100.0,Movements NL,Open
142,AgriFood Trade BV,www.agrifoodtrade.com,No Match,-,-,0.0,Movements NL,-
143,Technotex Industrial Supply B.V.,www.technotex.nl,technotex.nl,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/21279569,100.0,Movements NL,Open
144,AOKE Europe B.V.,www.aoke-europe.com,aoke-europe.com,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/56965403,100.0,Movements NL,Open
145,Quantex Group B.V.,www.quantexgroup.com,quantexgroup.com,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/37226821,100.0,Movements NL,Abandoned
146,Broekhoff Vuurwerk International B.V.,www.broekhoff.nl,broekhof.nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/51189868,95.65217391304348,Movements NL,Abandoned
147,Vesta Chemicals B.V.,www.vestachem.com,No Match,-,-,0.0,Movements NL,-
148,Difuzed Europe,difuzed.com,difuzed.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/31275840,100.0,Movements NL,Open
149,Ten Cate,www.eu.tencatefabrics.com,No Match,-,-,0.0,Movements NL,-
150,REDSUN B.V.,www.redsun.eu,redsun.eu,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/55057583,100.0,Movements NL,Abandoned
151,Clou B.V.,www.clou.nl,clou.nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/13203124,100.0,Movements NL,Open
